ID,Control,NIST AI RMF,EU AI Act,OWASP LLM Top 10 (2025),ISO/IEC 42001,Implementation Guidance,Tooling,Evidence Required,Enforced in CI,Risk Tiers
AIGOV-001,AI risk assessment before deployment,GOVERN 1.1; MAP 1.1,Art. 9 (risk management system),—,Clause 6.1; A.5.2,Run and document a risk assessment per use case; re-run on material change,Risk-assessment template; model registry,Signed risk assessment record per release,no,high
AIGOV-002,Data governance and provenance,MAP 2.1; MEASURE 2.2,Art. 10 (data and data governance),LLM04 (Data and Model Poisoning),A.7.2; A.7.3,Track dataset sources licenses and quality; document lineage,Data catalog; DVC; lineage tracking,Dataset datasheet with source and license,no,high
AIGOV-003,Encryption at rest,MANAGE 2.2,Art. 15 (accuracy robustness cybersecurity),LLM02 (Sensitive Information Disclosure),A.6.2.4,Encrypt model artifacts embeddings and stored prompts with managed keys,KMS; envelope encryption,KMS config and at-rest encryption attestation,yes,high;limited;minimal
AIGOV-004,Data retention and minimization,GOVERN 1.2; MAP 3.4,Art. 10; GDPR Art. 5(1)(e),LLM02 (Sensitive Information Disclosure),A.7.2,Define retention windows and purge jobs; collect only what is needed,Retention policy; scheduled purge,Documented retention policy and purge logs,no,high;limited;minimal
AIGOV-005,Human oversight,GOVERN 3.2; MANAGE 4.1,Art. 14 (human oversight),LLM06 (Excessive Agency),A.9.2,Provide a human review and override path for consequential outputs,Approval gates; HITL queue,Review/override audit trail,no,high
AIGOV-006,Prompt-injection and input moderation,MEASURE 2.7; MANAGE 2.3,Art. 15 (cybersecurity),LLM01 (Prompt Injection),A.6.2.6,Run input moderation and injection detection before every model call,Llama Guard; content-safety APIs,Pre-call moderation logs and test results,yes,high;limited;minimal
AIGOV-007,Output handling and content safety,MEASURE 2.6; MANAGE 2.3,Art. 15,LLM05 (Improper Output Handling),A.6.2.6,Moderate and validate outputs; encode/escape before downstream use,Output moderation; schema validation,Post-call moderation and validation logs,yes,high;limited;minimal
AIGOV-008,Transparency and model documentation,GOVERN 1.3; MAP 5.1,Art. 13 (transparency); Art. 11 (technical documentation),LLM09 (Misinformation),A.8.2,Publish a model card covering intended use limits and risks,Model-card generator,Versioned model card per release,no,high
AIGOV-009,Audit logging of AI interactions,MEASURE 1.1; MANAGE 4.1,Art. 12 (record-keeping/logging),LLM01; LLM02,A.6.2.8,Log inputs outputs decisions and overrides with retention; no PII in plaintext,OpenTelemetry; structured logs,Tamper-evident audit log schema and samples,yes,high;limited;minimal
AIGOV-010,Access control and least privilege,GOVERN 1.5,Art. 15 (cybersecurity),LLM06 (Excessive Agency),A.6.2.5,Scope credentials and tool permissions to least privilege per tenant,IAM; OPA; secrets manager,Access policy and periodic access review,yes,high;limited;minimal
AIGOV-011,Evaluation and drift monitoring,MEASURE 2.3; MANAGE 4.1,Art. 15 (accuracy); Art. 72,LLM09 (Misinformation),A.6.2.4; A.6.2.7,Gate releases on eval scores; monitor quality and distribution drift,Eval harness; Evidently AI,Eval reports and drift dashboards,no,high
AIGOV-012,Incident response and post-market monitoring,MANAGE 4.1; MANAGE 4.3,Art. 72 (post-market monitoring); Art. 73 (incident reporting),—,A.6.2.6; A.10,Define AI incident playbooks and a serious-incident reporting path,Alerting; on-call; incident tracker,Incident runbook and post-incident reports,no,high
AIGOV-013,Supply-chain and model provenance,MAP 4.1,Art. 25 (obligations along the value chain),LLM03 (Supply Chain),A.7.3; A.10,Verify third-party model and dependency provenance and integrity,SBOM; signature verification,Model and dependency provenance records,no,high
AIGOV-014,PII detection and sensitive-data handling,MAP 3.4; MEASURE 2.10,Art. 10; GDPR Arts. 5 25,LLM02 (Sensitive Information Disclosure),A.7.2,Detect and redact PII in prompts logs and outputs,PII detection; redaction,PII scan results and redaction config,no,high;limited;minimal
AIGOV-015,Rate limiting and resource controls,MANAGE 2.2,Art. 15 (robustness),LLM10 (Unbounded Consumption),A.6.2.6,Enforce per-tenant rate limits quotas and circuit breakers,API gateway; rate limiter,Rate-limit config and load-test results,yes,high;limited;minimal
AIGOV-016,Bias and fairness testing,MEASURE 2.11; GOVERN 5.1,Art. 10(2)(f) (bias examination),LLM09 (Misinformation),A.6.2.4,Test for disparate performance across groups before and after release,Fairness metrics; eval harness,Fairness test report per release,no,high
